instruction,input,output
ค่าดัชนีมวลกายเป็นเท่าไหร่จึงถือว่าอ้วน,,ค่า BMI > 25 kg/m² เรียกว่า โรคอ้วน
สาเหตุของโรคอ้วน มีอะไรบ้าง,,"แบ่งออกเป็น ปัจจัยภายใน และปัจจัยภายนอก ซึ่งส่วนใหญ่แล้วผู้ที่เป็นโรคอ้วน มักมีสาเหตุจากปัจจัยภายนอก เพราะมีพฤติกรรมการรับประทานที่ตามใจตนเอง 
จนทำให้รับประทานเกินความต้องการของร่างกาย"
ปัจจัยภายนอกที่ทำให้เกิดโรคอ้วนมีอะไรบ้าง,,"ปัจจัยภายนอก ได้แก่
1. รับประทานอาหารที่ให้พลังงานสูง เนื้อ ไขมัน แป้ง ของหวาน
2. รับประทานไม่เป็นเวลา กินจุบกินจิบ
3. นั่งๆ นอนๆ เป็นส่วนใหญ่
4. ขาดการออกกำลังกาย"
ค่าดัชนีมวลกายของบุคคลทั่วไปเป็นเท่าไหร่,,ค่า BMI < 18.5 – 22.9 kg/m² เรียกว่า ปกติ
ปัจจัยภายในที่ทำให้เกิดโรคอ้วนมีอะไรบ้าง,,"ปัจจัยภายใน ได้แก่
1. ความผิดปกติของต่อมไรท่อ เช่น ต้อมใต้สมอง ต่อมไทรอยด์
2. ภาวะเครียด
3. จิตใจและอารมณ์
4. กรรมพันธุ์
5. โรคประจำตัว เช่น เบาหวาน ความดันโลหิตสูง
6. การรับประทานยาบางชนิด
7. อายุ เนื่องจากอายุมาก จะมีการใช้พลังงานน้อยลง"
ผลกระทบจากโรคอ้วน ทำให้เกิดโรคอะไรบ้าง,,"ตัวอย่าง เช่น โรคหลอดเลือดหัวใจและสมอง, โรคความดันโลหิตสูง, โรคไขมันในเลือดสูง, โรคเบาหวาน"
ผลเสียของโรคความดันโลหิตสูง คืออะไร,,"ทำให้เกิดโรคร้ายตามมา ไม่ว่าจะเป็น ภาวะหัวใจวาย โรคหัวใจเต้นผิดจังหวะ โรคหลอดเลือดหัวใจตีบ ความน่ากลัวของโรคความดันโลหิตสูงคือ เป็นโรคที่มักไม่มีอาการ 
และจะเป็นโรคเรื้อรังที่รุนแรงถ้าไม่สามารถควบคุมโรคได้"
อาการความดันโลหิตสูงเป็นอย่างไร,,ส่วนใหญ่ไม่มีอาการผิดปกติหรือสัญญาณเตือน ยกเว้นผู้ป่วยที่เป็นโรคความดันโลหิตสูงระยะรุนแรงก็อาจมีอาการแสดง เช่น ปวดศีรษะรุนแรง หายใจได้สั้นลง เลือดกำเดาไหล
อันตรายของโรคความดันโลหิตสูง คืออะไร,,"1. เลือดไปเลี้ยงไตไม่พอ ไตวายเรื้อรัง
2. หลอดเลือดหัวใจหนา หัวใจขาดเลือด หัวใจวาย
3. หลอดเลือดตีบ โป่งพอง เลือดไปเลี้ยงอวัยวะได้น้อยลง
4. มีผลต่อเส้นเลือดที่ไปเลี้ยงจอประสาทตา ทำให้จอประสาทตาเสื่อม
5. เป็นสาเหตุของอัมพฤกษ์ อัมพาต"
โรคความดันโลหิตสูง คืออะไร,,ภาวะแรงกดดันในหลอดเลือดแดงที่มีค่าสูงเกินปกติ (140/90 มิลลิเมตรปรอท)
ความดันโลหิตสูง ส่งผลอย่างไรต่อหัวใจ,,ความดันโลหิตสูง ส่งผลให้หัวใจทำงานหนักขึ้น ทำให้ผนังหัวใจหนาตัว
สามารถป้องกันโรคความดันโลหิตสูงได้อย่างไร,,"สามารถป้องกันโรคความดันโลหิตสูงได้ด้วยการ ลดกินเกลือ (โซเดียม) เพิ่มการรับประทานผักผลไม้(รสหวานน้อย) ออกกำลังกายอย่างสม่ำเสมอ ดื่มเครื่องดื่มที่มีแอลกอฮอล์น้อยลง 
งดสูบบุหรี่ รวมถึงหลีกเลี่ยงการสูดดมควันบุหรี่"
ระดับความดันโลหิตปกติควรอยู่ที่เท่าไร,,ความดันโลหิตที่ “เหมาะสม” ของคนอายุ 18 ปี ขึ้นไปอยู่ที่ 120-129 มม.ปรอท สำหรับตัวบน และ 80-84 มม.ปรอท สำหรับตัวล่าง
โรคร่วมที่มาพร้อมกับความดันโลหิตสูงคืออะไร,,โรคร่วมที่มาพร้อมกับความดันโลหิตสูง เช่น เบาหวาน ไขมันในเลือดสูง เป็นต้น
โรคเบาหวาน คืออะไร,,"เบาหวาน เป็นภาวะที่ร่างกายมีน้ำตาลในเลือดสูงกว่าปกติ เนื่องจากการขาดฮอร์โมนอินซูลิน ส่งผลให้กระบวนการดูดซึมน้ำตาลในเลือดให้เป็นพลังงานของเซลล์ในร่างกายมีความผิดปกติ
หรือทำงานได้ไม่เต็มประสิทธิภาพ จนเกิดน้ำตาลสะสมในเลือดปริมาณมาก"
โรคเบาหวาน มีผลเสียอะไร,,จะทำให้อวัยวะต่าง ๆ เสื่อม
ตัวอย่างอาการของโรคเบาหวาน มีอะไรบ้าง,,"ปัสสาวะบ่อย ถึงบ่อยมาก, คอแห้ง กระหายน้ำ, หิวบ่อย กินจุ, น้ำหนักลด"
ระดับน้ำตาลของคนปกติ ควรมีปริมาณเท่าไหร่,,ระดับน้ำตาลในเลือด อยู่ระหว่าง 70-100 คุณอยู่ในภาวะปกติ
ระดับน้ำตาลของเบาหวานแฝง มีปริมาณเท่าไหร่,,ระดับน้ำตาลในเลือดเท่ากับ 100 – 125 คุณมีภาวะความเสี่ยง หรือเรียกว่า เบาหวานแฝง
ระดับน้ำตาลของเบาหวานที่มีภาวะเสี่ยง มีปริมาณเท่าไหร่,,ระดับน้ำตาลในเลือดเท่ากับ 100 – 125 คุณมีภาวะความเสี่ยง หรือเรียกว่า เบาหวานแฝง
ระดับน้ำตาลของผู้ป่วยเบาหวาน มีปริมาณเท่าไหร่,,ระดับน้ำตาลในเลือด มากกว่า 126 คุณมีความเสี่ยงเป็นโรคเบาหวาน
โรคเบาหวานสามารถรักษาให้หายขาดได้หรือไม่,,โรคเบาหวานไม่สามารถรักษาให้หายขาดได้
คอเลสเตอรอล (Cholesterol) คืออะไร,,คอเลสเตอรอล คือ สารประกอบไขมันชนิดหนึ่งที่มีความสำคัญต่อร่างกาย ร่างกายของเราต้องการคอเลสเตอรอลบางอย่างในการสร้างสุขภาพที่ดี 
คอเลสเตอรอลสูง เสี่ยงต่อการเกิดโรคอะไรบ้าง,,"ผู้ที่มีระดับคอเลสเตอรอลสูงสามารถเพิ่มความเสี่ยงต่อการเกิด
• โรคหลอดเลือดแดงแข็ง (atherosclerosis)
• โรคหัวใจวาย (heart attack)
• โรคหลอดเลือดสมอง (stroke)
• ภาวะสมองขาดเลือดชั่วขณะ (transient ischaemic attack: TIA)
• โรคหลอดเลือดแดงส่วนปลายอุดตัน (peripheral arterial disease: PAD)"
วิธีการลดคอเลสเตอรอลสูง ทำได้อย่างไร,,"สามารถทำได้โดยการปรับเปลี่ยนพฤติกรรมการทานอาหาร และพฤติกรรมการใช้ชีวิตบางอย่าง เช่น การออกกำลังกายอย่างสม่ำเสมอ การควบคุมน้ำหนัก การเลือกรับประทานอาหารที่มีประโยชน์ 
การควบคุมปริมาณการดื่มเครื่องดื่มแอลกอฮอล์ การเลิกสูบบุหรี่ เป็นต้น"
กิน-อยู่อย่างไรให้ห่างไกลคอเลสเตอรอล,,"1. หลีกเลี่ยงเมนูหวาน ๆ มัน ๆ เช่น ขนมปัง อาหารฟาสต์ฟู้ด เค้ก คุกกี้
2. ทานอาหารที่มีกากใยสูง เช่น แอปเปิ้ล ฝรั่ง ผักใบเขียว
3. รับประทานอาหารที่มีโอเมก้า 9 เช่น น้ำมันมะกอก น้ำมันรำข้าว
4. หลีกเลี่ยงอาหารคอเลสเตอรอลสูง เช่น ตับ เครื่องในสัตว์ ปลาหมึก เนื้อสัตว์ติดไขมัน
5. ออกกำลังกาย 3 วัน/สัปดาห์ ประมาณ 20-30 นาทีต่อวัน
6. งดดื่มแอลกอฮอล์ และสูบบุหรี่ เพราะส่งผลต่อระดับคอเลสเตอรอล"
บุคคลทั่วไป สามารถรับประทานอาหารที่มีคอเลสเตอรอลรวมกันได้เท่าไหร่,,"ไม่เกิน 300 มก./วัน
"
ผู้ป่วยโรคเบาหวาน สามารถรับประทานอาหารที่มีคอเลสเตอรอลรวมกันได้เท่าไหร่,,ควรรับประทานทานไม่เกิน 200 มก./วัน
หากปล่อยให้คอเลสเตอรอลสูงมากเกินไป เกิดผลเสียอย่างไร,,ร่างกายอาจเสี่ยงต่อโรคหัวใจขาดเลือด อัมพฤกษ์ได้ 
วิธีป้องกันคอเลสเตอรอลสูง,,ควรตรวจสุขภาพเพื่อวัดระดับคอเลสเตอรอลในร่างกายทุกปี เพื่อป้องกันภัยจากโรคคอเลสเตอรอลสูงในเลือดได้ทันท่วงที
โรคอะไร เป็นสาเหตุอันดับต้นของการเสียชีวิตของประชากร,,โรคมะเร็ง
ปัจจัยเสี่ยงที่กระตุ้นและทำให้เกิดโรคมะเร็ง คืออะไรบ้าง,,"- อายุ / กรรมพันธุ์ / ความไม่สมดุลทางฮอร์โมน
- การรับประทานอาหาร เช่น  การบริโภคอาหารไขมันสูง ดื่มแอลกอฮอล์ เป็นต้น
- การสูบบุหรี่ (มีความสัมพันธ์กับการเกิดโรคมะเร็งหลายชนิด)
- การใช้สารเคมีเป็นประจำ
- ขาดการออกกำลังกาย"
สัญญาณอันตรายเสี่ยง โรคมะเร็ง มีอะไรบ้าง,,"- ระบบขับถ่ายที่เปลี่ยนแปลง
- แผลที่ไม่รู้จักหาย
- ร่างกายมีก้อนตุ่ม
- กลุ้มใจเรื่องการกลืนอาหาร
- ทวารทั้งหลายมีเลือดไหล
- ไฝ หูดที่เปลี่ยนไป
- ไอและเสียงแหบจนเรื้อรัง"
โรคมะเร็งตับ มีสาเหตุจากอะไร,,การได้รับเชื้อไวรัสตับอักเสบ การดื่มแอลกอฮอล์ รับสารพิษอะฟลาท็อกซิน (Aflatoxin) การรับยาบางชนิด และพันธุกรรม เป็นต้น
โรคมะเร็งตับ ส่วนใหญ่อยู่ในช่วงอายุเท่าไร,,ส่วนใหญ่อยู่ในช่วงอายุ 30- 70 ปี 
โรคมะเร็งท่อน้ำดี มีสาเหตุจากอะไร,,"ปัจจัยเสี่ยงของโรคนี้มาจากการรับประทานอาหารสุก ๆ ดิบ ๆ โดยเฉพาะปลาน้ำจืดแบบดิบ ทำให้ได้รับตัวอ่อนของพยาธิใบไม้ตับ เกิดการติดเชื้อพยาธิใบไม้ตับ 
นอกจากนี้ยังมีปัจจัยเสี่ยงอื่น ๆ เช่น บุคคลในครอบครัวเป็นมะเร็งท่อน้ำดี ภาวะท่อน้ำดีอักเสบเรื้อรัง การสูบบุหรี่ เป็นต้น"
การรับประทานอาหารสุก ๆ ดิบ ๆ ส่งผลให้เกิดโรคอะไร,,โรคมะเร็งท่อน้ำดี 
โรคมะเร็งปอด มีสาเหตุจากอะไร,,สาเหตุหลักของมะเร็งปอดมาจากการสูบบุหรี่ หรือรับควันบุหรี่
อาการโรคมะเร็งปอดมีอะไรบ้าง,,อาการเริ่มแรกมักมีการไอเสมหะหรือไอมีเลือด เจ็บหน้าอก หายใจดังและถี่ ความอยากอาหารลดลง เป็นต้น
อาการโรคมะเร็งลำไส้ใหญ่และทวารหนักมีอะไรบ้าง,,อาการของมะเร็งลำไส้ใหญ่มักปรากฏให้เห็นเช่น อุจจาระมีเลือดปน น้ำหนักลด มีอาการลำไส้อักเสบเรื้อรัง  เป็นต้น
โรคมะเร็งเต้านม เกิดจากอะไร,,เกิดจากความผิดปกติของเซลล์ในต่อมน้ำนมและท่อน้ำนม 
โรคมะเร็งเต้านม มีสาเหตุจากอะไร,,สาเหตุของโรคมะเร็งเต้านมมีหลายปัจจัย เช่น กรรมพันธุ์ อายุ มีประจำเดือนตอนอายุน้อย ๆ หรือหมดประจำเดือนช้ากว่าปกติ เป็นต้น
โรคมะเร็งปากมดลูก มีสาเหตุจากอะไร,,พฤติกรรมที่ทำให้เกิดโรคมะเร็งปากมดลูกมีสาเหตุหลักๆ คือ เปลี่ยนคู่นอนบ่อย ติดเชื้อจากการมีเพศสัมพันธ์  เป็นต้น
ภาวะไขมันพอกตับ คืออะไร,,เป็นภาวะที่มีการสะสมของไขมันซึ่งส่วนใหญ่อยู่ในรูปของ Triglyceride ในเซลล์ตับ เพราะมีปริมาณน้ำตาลส่วนเกินในร่างกายมากเกินความต้องการจนตับนำไปสร้างเป็นไขมัน
สาเหตุที่ทำให้เกิดไขมันพอกตับ มีอะไรบ้าง,,"- อ้วน น้ำหนักเกิน
- ดื่มแอลกอฮอล์เป็นประจำ
- ชอบกินของมัน ของหวาน หรือแป้งมากเกิน
- มีโรคประจำตัว เบาหวาน ไขมันในเลือดสูง ไวรัสตับอักเสบ"
โรคหลอดเลือดสมองและหัวใจ เกิดจากอะไร,,"เกิดจากการกินอาหารไขมันสูงมากเกินไป ไขมันจะไปเกาะอยู่ตามผนังหลอดเลือดต่างๆ ในร่างกาย ทำให้หลอดเลือดอุดตัน เลือดไม่สามารถไหลเวียนได้สะดวก 
เสี่ยงต่อการเกิดหัวใจล้มเหลวหรือหลอดเลือดสมองแตก ตีบ ตัน หรืออัมพฤกษ์ อัมพาตได้"
โรคมะเร็ง เกิดจากอะไร,,เกิดจากเซลล์ในร่างกายแตกตัวผิดปกติ เกิดเป็นเซลล์มะเร็งตามส่วนต่างๆ ของร่างกาย หากตรวจพบและได้รับการรักษาล่าช้า จะส่งผลให้ผู้ป่วยเสียชีวิตในที่สุด
โรคอ้วนลงพุง เกิดจากอะไร,,"เกิดจากมีพฤติกรรมการกินมากกว่าการเผาผลาญออก ไขมันส่วนเกินไปสะสมอยู่ในส่วนต่างๆ ของร่างกาย โดยเฉพาะในช่องท้อง เป็นสาเหตุให้เกิดโรคต่างๆ ตามมามากมาย 
เช่น ไขมันในเลือดสูง ความดันโลหิตสูง หลอดเลือดสมองแตก ไตวาย เป็นต้น"
ควรปรับพฤติกรรมอย่างไรบ้าง เพื่อป้องกันโรค NCDs,,"- ลด หรือเลี่ยงอาหารที่มีรสจัดมากเกินไป เช่น เค็มจัด หวานจัด มันจัด
- ลดอาหารประเภทปิ้งย่าง หรือ อาหารไขมันสูง พร้อมทั้งเพิ่มสัดส่วนของผัก ผลไม้ อย่างเพียงพอ
- ลด ละ เลิก การสูบบุหรี่ และการดื่มเครื่องดื่มแอลกอฮอล์
- ควบคุมน้ำหนักตัว หมั่นออกกำลังกายเป็นประจำ ตามความเหมาะสมของแต่ละบุคคล ผ่อนคลายความเครียด พักผ่อนให้เพียงพอ"
การลดความเสี่ยงของ NCDs คืออะไรบ้าง,,ดูแลสุขภาพตัวเอง ตรวจสุขภาพประจำปีอย่างสม่ำเสมอ
อธิบายความหมายของโรคเบาหวาน,,ภาวะที่น้ำตาลในเลือดสูงกว่าปกติอย่างควบคุมไม่ได้ ทำให้เกิดภาวะแทรกซ้อนตามมา เช่น ตาบอด ไตวาย แผลเรื้อรังที่เท้า
อธิบายความหมายของโรคหลอดเลือดหัวใจและสมอง,,"เกิดจากการเกาะของคราบไขมันภายในผนังหลอดเลือดส่งผลให้หลอดเลือดไปเลี้ยงหัวใจและสมองไม่เพียงพอ นำไปสู่โรคกล้ามเนื้อหัวใจขาดเลือด หัวใจวาย หลอดเลือดสมองตีบ 
หรือหลอดเลือดสมองแตก อัมพฤกษ์ อัมพาต"
อธิบายความหมายของโรคถุงลมโป่งพอง,,ถุงลมในปอดเกิดการอักเสบ จนทำให้การแลกเปลี่ยนก๊าซผิดปกติ มักเกิดจากการสูบบุหรี่
อธิบายความหมายของโรคความดันโลหิตสูง,,เป็นภาวะความดันเลือดภายในหลอดเลือดแดงสูงกว่าปกติ เกิดจากอายุที่มากขึ้น ขาดการออกกำลังกาย ทานอาหารรสเค็ม ทำให้หลอดเลือดแดงแข็งขึ้น แล้วเกิดภาวะหลอดเลือดตีบ
อธิบายความหมายของโรคอ้วนลงพุง,,"กิดจากระบบการเผาผลาญผิดปกติ รับประทานของหวาน ของมัน ของทอดมากเกินไป และขาดการออกกำลังกาย ส่งผลให้ไขมันสะสมบริเวณใต้ผิวหนังและในช่องท้อง ทำให้มีรอบเอวใหญ่ 
เสี่ยงต่อการเกิดภาวะแทรกซ้อน ใน เช่น โรคเบาหวาน โรคหัวใจ ความดันโลหิตสูง และนอนกรน"
พฤติกรรมอะไรบ้างเสี่ยงต่อโรค NCDs,,"- บริโภคอาหารรสหวานจัด เค็มจัด หรืออาหารที่มีไขมันสูง
- ดื่มเครื่องดื่มแอลกอฮอล์
- สูบบุหรี่
- ไม่ออกกำลังกาย
- พักผ่อนไม่เพียงพอ
- มีภาวะเครียด
- การรับประทานยาโดยไม่ปรึกษาแพทย์ เช่น ยาแก้ปวด ยาชุด ยาสมุนไพร ยาลูกกลอน"
อะไรคือความรุนแรงของโรค NCDs ,,"โรค NCDs เป็นปัญหาใหญ่ที่กำลังทวีความรุนแรงขึ้นเรื่อยๆ คนไทยป่วยด้วยโรค NCDs 14 ล้านคน เสียชีวิตมากกว่า 340,000 ราย/ปี หรือ 75% ของการเสียชีวิตในแต่ละปีของคนไทยทั้งหมด 
คิดเป็นเสียชีวิตเฉลี่ยชั่วโมงละ 37 คน และมีแนวโน้มการเสียชีวิตเพิ่มขึ้นในทุกๆ ปี ซึ่งส่วนใหญ่เสียชีวิตก่อนอายุ 60 ปี"
อ้วน-ผอม ประเมินอย่างไร,,การคำนวณค่าดัชนีมวลกาย จะทำให้เราทราบถึงรูปร่างและสัดส่วนว่าเป็นอย่างไร และหากมีค่าดัชนีมวลกายที่ไม่เหมาะสมก็จะมีความเสี่ยงต่อการเกิดโรคได้
ค่าดัชนีมวลกาย Body Mass Index คืออะไร,,ค่าดัชนีมวลกาย Body Mass Index หรือเรียกย่อ ๆ ว่า BMI คือ ตัวชี้วัดมาตรฐานเพื่อประเมินสภาวะของร่างกายว่า มีความสมดุลของน้ำหนักตัวต่อส่วนสูงอยู่ในเกณฑ์ที่เหมาะสมหรือไม่
ค่า BMI คำนวณจากอะไร,,ค่า BMI คำนวณจาก ค่าของน้ำหนักตัวหน่วยเป็นกิโลกรัม หารด้วยส่วนสูงหน่วยเป็นเมตร ยกกำลัง 2 และแสดงในหน่วย กก./ม2
ตัวอย่างการออกกำลังกายพื่อลด NCDs,,"เพิ่มการเคลื่อนไหวร่างกาย เช่นการขึ้นลงบันได แทนการใช้ลิฟต์ การออกกำลังกายเพื่อให้ได้ความแข็งแรงของหัวใจและหลอดเลือด คือการออกกำลังกายแบบแอโรบิกระดับปานกลาง 150 นาที 
ต่อสัปดาห์ หรืออย่างน้อย 30 นาที/วัน 5 วันต่อสัปดาห์ เช่น การเดิน การวิ่ง การปั่นจักรยาน"
วิธีการรักษาโรค NCDs,,"- สามารถรักษาให้หายได้ด้วยการปรับพฤติกรรมการใช้ชีวิต
- การทานยาตามอาการ เพื่อควบคุมโรค"
ตัวอย่างโรคกลุ่ม NCDs ประกอบไปด้วยอะไรบ้าง,,"ตัวอย่างของโรคในกลุ่ม NCDs ได้แก่ โรคเบาหวาน โรคความดันโลหิตสูง โรคไขมันในเลือดสูง โรคอ้วนและอ้วนลงพุง โรคถุงลมโป่งพองหรือโรคปอดอุดกั้นเรื้อรัง โรคหัวใจและหลอดเลือด 
โรคหรือปัญหาทางสุขภาพจิตบางประเภท รวมถึงโรคมะเร็ง"
สิ่งที่น่ากลัวของโรคในกลุ่ม NCDs คือ,,เราอาจจะเป็นโรคนี้อยู่โดยไม่รู้ตัวก็ได้ เนื่องจากโรคนี้มีการดำเนินโรคแบบค่อยเป็นค่อยไป เพิ่งทำให้มีอาการแสดงที่ไม่ชัดเจนนัก
NCDs มีความหมายว่าอย่างไร,,โรคไม่ติดต่อเรื้อรัง
โรคปอดอุดกั้นเรื้อรัง คืออะไร,,คือโรคที่มีหลอดลมตีบซึ่งไม่สามารถรักษาให้หายกลับเป็นปกติได้ (not fully reversible airway obstruction)
โรคปอดอุดกั้นเรื้อรัง มีกี่ชนิด อะไรบ้าง,,แบ่งเป็น 2 ชนิด ได้แก่ หลอดลมอักเสบเรื้อรัง (Chronic Bronchitis) และถุงลมปอดโป่งพอง (Emphysema)
อาหารที่แนะนำในผู้ป่วยปอดอุดกั้นเรื้อรัง,,"- เลือกอาหารอ่อน กินง่าย โดยไม่ต้องเคี้ยวมาก เช่น ซุป ไข่เจียว พาสต้า พายปลา โยเกิร์ต
- ดื่มสารน้ำที่มีพลังงาน เช่น นมหรือช็อกโกแลต
- เพิ่มสารอาหารโปรตีน
- เพิ่มอาหารที่ให้พลังงาน เช่น ครีม เนย มาการีน น้ำตาล แยม น้ำผึ้ง น้ำเชื่อม"
วิธีกินอาหารที่ช่วยให้การหายใจดีขึ้น,,"- กินอาหารที่ให้พลังงานสูงในตอนเช้า
- ควรกิน 6 มื้อเล็ก ๆ/วัน แทนการกิน 3 มื้อใหญ่/วัน เพื่อไม่ให้เหนื่อยง่ายขณะกินอาหาร รวมทั้งควรให้เสิร์ฟ อาหารหวานหลังกินอาหารหลักไปแล้ว 30-60 นาที
- เคี้ยวช้า ๆ เพื่อให้ละเอียดจะได้ไม่กลืนอากาศเข้าไปมากในขณะกลืน
- เลือกกินอาหารที่เคี้ยวง่าย
- จำกัดเกลือเพราะเกลือทำให้ร่างกายบวมน้ำและหายใจเหนื่อยขึ้น
- กินอาหารที่มีแคลเซียมและวิตามินดีเพื่อเสริมกระดูก
- เลี่ยงอาหารที่ผลิตแก๊สมาก เพราะจะทำให้ท้องตึงจนหายใจลำบาก เช่น บรอคโคลี่ กะหล่ำปลี ถั่ว ข้าวโพด แตงกวา แตงโม หัวหอม แอปเปิ้ลดิบ อาหารทอดน้ำอัดลม
- กินในท่านั่งเพื่อให้ปอดทำงานได้ดี
- ดื่มน้ำหลังกินอาหารเสร็จ โดยไม่ควรดื่มน้ำบ่อยระหว่างกินอาหารเพราะจะอิ่มเร็ว
- ดมออกซิเจนในขณะกินอาหาร เพราะการกินและย่อยอาหารล้วนต้องใช้ออกซิเจนทั้งสิ้น
- จำกัดการกินอาหารที่มีคาเฟอีน เพราะคาเฟอีนรบกวนการดูดซึมยาบางอย่าง และทำให้ใจสั่น
- พักผ่อนหลังกินอาหารเสร็จ"
การสูบบุหรี่ ก่อให้เกิดอะไรบ้าง,,การสูบบุหรี่จะเกิดการผลิตสารอนุมูลอิสระ (free radical) ออกมาทำให้เกิดการอักเสบและหลอดลมตีบ สารต้านอนุมูลอิสระจะช่วยลดการอักเสบที่เกิดจาก free radical ได้
ผู้สูบบุหรี่มากๆ มีผลเสียอย่างไร,,"ผู้ที่สูบบุหรี่บ่อยหรือมีอาการหอบกำเริบบ่อยมักมีระดับสารต้านอนุมูลอิสระในเลือดต่ำ เช่น ascorbic acid วิตามินอี เบต้าแคโรทีน ซีรีเนียม สำหรับการเสียสมดุลระหว่างสารอนุมูลอิสระและ
การต่อต้านสารอนุมูลอิสระจะทำให้เกิดการอักเสบในปอดและอาการหอบแย่ลงตามไปด้วย"
การได้รับสารต้านอนุมูลอิสระมากๆ ส่งผลอย่างไร,,การได้รับสารต้านอนุมูลอิสระจะทำให้การดำเนินของโรคช้าลง ปอดทำงานดีขึ้น และอาการหอบกำเริบน้อยลง
อาหารอะไรที่เป็นสาเหตุของโรคอ้วน,,"- ขนมกรุบกรอบ
- เครื่องดื่มรสหวาน
- อาหารที่มีแป้ง ไขมัน และน้ำตาล ในปริมาณมาก"
เกร็ดควรรู้ง่าย ๆ ห่างไกล ความอ้วนมีอะไรบ้าง,,"- หลีกเลี่ยงขนมกรุบกรอบ
- ออกกำลังกายอย่างน้อยวันละ 30 นาที
- เคลื่อนไหวร่างกายบ่อย ๆ
- ไม่เติมน้ำตาลเพิ่มในอาหาร
- หลีกเลี่ยงเครื่องดื่มรสหวานจัด
- หลีกเลี่ยงอาหารทอด"
สัญญาณเตือน โรคความดันโลหิตสูง มีอะไรบ้าง,,"- ปวดศีรษะ
- มึนงง
- วิงเวียน
- นอนไม่หลับ
- แน่นหน้าอก
- เหนื่อยง่าย"
ปัจจัยเสี่ยงที่ทำให้เกิดโรคความดันโลหิตสูง มีอะไรบ้าง,,"- บริโภคอาหารรสจัด เช่น เค็มจัด หวานจัด มันจัด
- ไขมันในเลือดสูง
- ภาวะเบาหวาน
- ขาดการออกกำลังกาย (มีความสัมพันธ์กับการเกิดโรค ร้อยละ 20)
- อ้วน (มีความสัมพันธ์กับการเกิดโรค ร้อยละ 30)
- เครียดเรื้อรัง
- สูบบุหรี่
- ดื่มสุรา หรือแอลกอฮอล์"
โรคแทรกซ้อนของโรคความดันโลหิตสูง มีอะไรบ้าง,,"- หลอดเลือดแดงแข็ง
- โรคหลอดเลือดสมอง
- โรคไตเรื้อรัง
- กล้ามเนื้อหัวใจวาย
- หัวใจโต
- โรคหัวใจเฉียบพลัน"
โรคเบาหวาน เกิดจากอะไร,,เกิดจากการบริโภคอาหารที่มีรสหวานมากเกินไป และมีความผิดปกติของกระบวนการเผาผลาญในร่างกาย
โรค/อาการแทรกซ้อนของเบาหวาน มีอะไรบ้าง,,"- ไตอักเสบ ไตเสื่อม
- ไตวาย อาจร้ายแรงถึงเสียชีวิต
- หลอดเลือดหัวใจตีบหรืออุดตัน
- หัวใจวาย
- ตาพร่ามัว
- ตาบอด
- หลอดเลือดสมองตีบ
- อัมพาต"
8 สัญญาณเตือนโรคเบาหวาน มีอะไรบ้าง,,"- ปัสสาวะบ่อย
- อ่อนเพลีย
- แผลหายช้า
- ดื่มน้ำบ่อย
- ตามัว
- น้ำหนักลด
- คันตามผิวหนัง
- ชาปลายมือปลายเท้า"
โรคไตเรื้อรัง เกิดกับใครได้บ้าง,,"โรคนี้เป็นได้ทุกเพศ ทุกวัย สาเหตุส่วนหนึ่งเกิดจากการบริโภคอาหารที่มีโซเดียมมากเกินไปและเป็นประจำ เมื่อเป็นแล้วอาจบานปลายถึงขั้นเสียชีวิต หรือต้องทรมานจากการล้างไต 
ฟอกไตเสียทั้งเงินและเวลา"
4 สัญญาณเตือนโรคไต มีอะไรบ้าง,,"- ปัสสาวะผิดปกติ
- บวมตามร่างกาย
- ความดันโลหิตสูง
- ปวดหลัง ปวดเอว"
ตัวอย่างนิสัยหรือพฤติกรรมการดำเนินชีวิตไม่เหมาะสม,,"- ดื่มเครื่องดื่มแอลกอฮอล์
- สูบบุหรี่
- บริโภคหวานมัน เค็มมากเกินพอดี
- ไม่ออกกำลังกาย
- นอนดึกมีความเครียดสูง"
ใน 1 วันไม่ควรบริโภคน้ำตาลเกินเท่าไหร่,,ใน 1 วันไม่ควรบริโภคน้ำตาลเกิน 65 กรัม
ประเภทของน้ำตาลมีอะไรบ้าง,,"น้ำตาลธรรมชาติ น้ำตาลจากแหล่งอื่น, น้ำตาลอิสระ"
แหล่งที่มาของน้ำตาลธรรมชาติมาจากไหน,,ผัก ผลไม้ นม
น้ำตาลธรรมชาติไม่ควรกินเกินเท่าไหร่,,41 กรัมต่อวัน
แหล่งที่มาของน้ำตาลอิสระมาจากไหน,,"น้ำตาลที่เติมลงไปในอาหาร, น้ำผึ้ง, น้ำเชื่อม, น้ำผลไม้, น้ำผลไม้ชนิดเข้มข้น"
น้ำตาลอิสระไม่ควรกินเกินเท่าไหร่,,24 กรัมต่อวัน
