instruction,input,output
ตั้งครรภ์แล้วยังดื่มไวน์ได้หรือไม่,,"การดื่มเครื่องดื่มแอลกอฮอล์มากเกินไปเป็นอันตรายต่อทารกในครรภ์การดื่มไวน์1แก้วซึ่งมีแอลกอฮอล์
ไม่มากจะเป็นอันตรายหรือไม่ในขณะนี้ยังไม่มีคำตอบที่ชัดเจน ว่าจะส่งผลกระทบต่อลูกในครรภ์หรือไม่
ดังนั้นเพื่อความปลอดภัยจึงควรหลีกเลี่ยงการดื่มเครื่องดื่มแอลกอฮอล์ทุกชนิดในระหว่างตั้งครรภ์ไว้
จะเป็นการดีที่สุด"
อยากรู้ว่ามีอาหารชนิดไหนที่จะช่วยเพิ่มน้ำนมแม่,,"พืชผักสมุนไพร และเครื่องเทศ ตามตำราแพทย์แผนไทยระบุไว้ว่า อาจช่วยเพิ่มการไหลเวียนของโลหิต
และไปกระตุ้นให้น้ำนมของแม่เพิ่มขึ้นประกอบด้วย พริกไทย ใบแมงลัก หัวปลีขิง กะเพรา ใบขี้เหล็ก
ฟักทอง มะรุม กานพลู กุยช่าย ตำลึง ฯลฯ ขอแนะนำให้เลือกกินอาหารที่มีพืชผักสมุนไพร
และเครื่องเทศเหล่านี้เป็นส่วนประกอบในอาหารแต่ละมื้อเพื่อช่วยเพิ่มประสิทธิภาพของการสร้างน้ำนม
การศึกษาเก็บข้อมูลนมแม่ในต่างประเทศ พบว่าองค์ประกอบของอาหารและเครื่องดื่มที่แม่กินจะ
เข้าไปอยู่เป็นส่วนประกอบของนมแม่ด้วย แม่จึงควรหลีกเลี่ยงอาหารที่มีรสเผ็ดจัด น้ำชา-กาแฟ และ
เครื่องดื่มที่มีแอลกอฮอล์ผสมอยู่ เพราะทารกจะได้รับสารแคบไซซินจากพริก คาเฟอีนจากน้ำชา-กาแฟ
และแอลกอฮอล์จากเครื่องดื่มที่มีแอลกอฮอล์เป็นองค์ประกอบ เมื่อทารกกินนมแม่ก็จะได้รับสารต่างๆ
เหล่านั้นอย่างหลีกเลี่ยงไม่ได้ซึ่งอาจทำให้เกิดอาการไม่สบายท้อง งอแง และไม่นอนหลับตามปกติ"
อาหารแบบใดที่ทำให้เด็กวัยเรียนสูงขึ้น,,"การเพิ่มความสูงให้เต็มตามศักยภาพทางพันธุกรรม มี 3 ปัจจัยสำคัญ คือ
1. กินอาหารที่มีคุณค่าทางโภชนาการ โดยในแต่ละวัน กินอาหารครบทั้ง 5 กลุ่ม คือ กลุ่มข้าวแป้ง
ประมาณ 7-8 ทัพพีกลุ่มผัก 4 ทัพพีกลุ่มผลไม้3 ส่วน กลุ่มเนื้อสัตว์4-6 ช้อนกินข้าว และนม
วันละ 2-3 แก้ว
2. ออกกำลังกายเป็นประจำ เช่น วิ่ง ว่ายน้ำ เล่นกีฬา เช่น ฟุตบอล บาสเก็ตบอล กระโดดเชือก เป็นต้น
3. นอนหลับพักผ่อนให้เพียงพอ ไม่น้อยกว่าวันละ 8 ชั่วโมง"
กินโปรตีนมากๆ ช่วยเพิ่มความสูงได้หรือไม่,,"การกินโปรตีนมากๆ เพียงอย่างเดียว โดยได้รับแคลเซียมไม่เพียงพอ ความสูงจะไม่เพิ่มขึ้นเต็มตาม
ศักยภาพทางพันธุกรรม เพราะแคลเซียมเป็นองค์ประกอบสำาคัญในการสร้างกระดูกให้ยาวขึ้น
นอกจากนั้น การได้รับโปรตีนมากๆ ยังเกิดผลเสียต่อร่างกาย เพราะการได้รับโปรตีนมากๆ ร่างกาย
ไม ่สะสมโปรตีน ทำให้ร ่างกายต้องขับโปรตีนส ่วนที่เหลือจากความต้องการออกทางปัสสาวะ
ไตจึงทำงานหนัก เสี่ยงเป็นโรคไตในอนาคต และโปรตีนยังมีผลทำให้แคลเซียมสลายออกจากกระดูก
มีโอกาสเป็นโรคกระดูกพรุนเพิ่มขึ้นอีกด้วย"
ดื่นนมถั่วเหลืองแทนนมวัวได้หรือไม่,,"การส่งเสริมให้ดื่มนมวัว เพื่อให้ได้รับแคลเซียมเพียงพอและยังเป็นแหล่งของสารอาหารอื่นที่สำคัญ เช่น
โปรตีน วิตามินเอ วิตามินบี2 และวิตามินบี12 ส่วนนมถั่วเหลือง จะให้แคลเซียมน้อย รวมทั้ง
มีวิตามินบี2 และวิตามินบี12 น้อย แม้ว่าจะเป็นแหล่งของโปรตีน และคุณภาพของไขมันดีกว่านมวัว
ถ้าหากดื่มนมถั่วเหลืองแทนนมวัว จะต้องกินอาหารที่เป็นแหล่งแคลเซียมอื่นๆ ทุกมื้อ เช่น
ปลาเล็กปลาน้อย สัตว์ตัวเล็กที่กินได้ทั้งกระดูก เช่น กบ เขียด เป็นต้น เต้าหู้แข็ง เต้าหู้อ่อน
อย่างไรก็ตาม จากการสำรวจ พบว่า ปริมาณแคลเซียมที่ได้จากอาหารอื่นที่ไม่ใช่นม ได้เพียง
300 มิลลิกรัมต่อวัน ไม่เพียงพอต่อความต้องการแคลเซียมของเด็กในวัยนี้ดังนั้นเด็กวัยนี้จึงควร
ดื่มนมวัวที่เป็นนมสดรสจืดทุกวันๆ ละ 2-3 แก้ว (200 ซีซี/แก้ว)"
อาหารอะไรที่กินแล้วทำให้ดูดี,,"อาหารที่กินแล้วทำให้ดูดีก็คือ อาหารที่กินในชีวิตประจำวันปกติที่ครบทุกหมวดหมู่ แต่ต้องเน้น
1. อาหารสดใหม่ เพื่อรักษาคุณค่าทางโภชนาการ
2. เป็นอาหารธรรมชาติไม่ผ่านกระบวนการดัดแปลง ที่มีการใส่สารปรุงแต่ง หรือสารกันบูด
3. มีใยอาหารสูง ช่วยในการขับถ่าย และลดไขมันในกระแสเลือด ทำให้ไม่อ้วน
4. มีความหลากหลาย ทั้งชนิด และสีสัน ช่วยให้ได้รับสารอาหารครบถ้วน
5. เป็นอาหารที่ไม่หวาน ไม่มัน ไม่เค็ม"
ตัวอย่างเมนูอาหารสำหรับวัยรุ่น,,"เมนูที่ 1 ข้าวกล้อง ไข่ตุ๋นใส่เห็ดเข็มทอง มะเขือเทศ ผัดบล็อกโคลี่ใส่ตับ ชมพู่ 2 ผล
เมนูที่ 2 ข้าวกล้องราดกะเพรากุ้งใส่ถั่วฝักยาว ข้าวโพดอ่อน มะเขือเทศ มังคุด 2 ผล
เมนูที่ 3 ข้าวกล้อง น้ำพริกผักสด ผักลวก ปลาทูทอด แกงจืดหมูสับใส่ตำลึง สับปะรด"
อาหารอะไรที่ช่วยให้ผมดกดำ ไม่หงอก แข็งแรง ไม่ร่วง,,"อาหารที่ช่วยให้เส้นผมแข็งแรงไม่เปราะบาง ไม่หงอก ได้แก่ ข้าวกล้อง ปลา กุ้ง หอยนางรม ไข่
ถั่วเหลือง นม เนย ผักและผลไม้ต่างๆ เช่น มะเขือเทศ ฟักทอง แครอต ผักโขม พริกหวาน มะม่วง
แคนตาลูป เมล็ดฟักทอง ซึ่งมีสารอาหารสำคัญ ต่อไปนี้
1. โปรตีน มีกรดอะมิโนที่สร้างเคราติน ซึ่งเป็นส่วนประกอบหลักของเส้นผม
2. ไขมันคุณภาพ เช่น โอเมก้า3 ช่วยสร้างเส้นผม และช่วยป้องกันรังแค
3. วิตามินเอ และ เบต้าแคโรทีน ช่วยเสริมสร้างเซลล์หนังศีรษะและเส้นผม
4. วิตามินบีรวม ช่วยให้เลือดไปเลี้ยงหนังศีรษะและเส้นผม และช่วยสร้างเมลานินเม็ดสีแก่เส้นผม
5. วิตามินซีช่วยให้เลือดไปเลี้ยงรากผม ทำให้ผมไม่แตกปลาย
6. ธาตุเหล็ก ช่วยให้นำออกซิเจนไปยังเซลล์ต่างๆ ของหนังศีรษะและเส้นผม"
สารอาหารสามารถช่วยให้สุขภาพผิวดีจริงหรือไม่,,"เป็นเรื่องจริง เห็นได้จากธุรกิจความงามที่ดึงเอาส่วนดีของสารอาหารมาใช้เป็นจุดขาย เนื่องจากผิวหนัง
เป็นอวัยวะที่ต้องการอาหารเช่นเดียวกับอวัยวะอื่นๆ ของร่างกาย หากต้องการให้สุขภาพผิวดีต้องกิน
อาหารครบ5 หมู่ทุกมื้อทุกวัน ดื่มน้ำสะอาด ประกอบกับการนอนหลับเพียงพอ การทำจิตใจให้เบิกบาน
การออกกำลังกาย และทำความสะอาดผิวอย่างถูกต้อง สารอาหารที่สามารถช่วยให้สุขภาพผิวดี"
สารอาหารใดบ้างที่ทำให้สุขภาพผิวดี,,"ตัวอย่างสารอาหารที่ทำให้ผิวดี
- คอลลาเจน มีหน้าที่สร้างความแข็งแรงความยืดหยุ่นและทำให้ผิวเต่งตึง กระชับ นุ่มเนียน พบใน
กระดูกอ่อน กระดูก เส้นเอ็น ข้อต่อ
- เหล็ก ช่วยนำออกซิเจนไปยังเซลล์ต่างๆ ในร่างกาย ทำให้มีเลือดฝาด ผิวเป็นสีชมพูและช่วยสร้าง
ภูมิต้านทานโรค แหล่งอาหาร ได้แก่ เลือด ตับ เนื้อสัตว์ต่างๆ"
ลดน้ำหนักด้วยจานสลัดได้ผลจริงไหม,,"ได้ผลถ้าสลัดจานนั้นรวมอยู่ในมื้ออาหารไม่ใช่จานสลัดที่จัดเพิ่มขึ้นพิเศษและใส่น้ำสลัดชนิดที่มีไขมันต่ำ
หรือสลัดน้ำใสแต่พอควร การจัดจานสลัดควรจัดให้มีอาหารครบ 5 หมู่ เตรียมง่าย โดยประกอบด้วยผัก
ประเภทใบ เช่น ผักกาดหอม ผักกาดแก้ว เรดโอ๊ก มากกว่าผักประเภทหัวซึ่งมีแป้งมาก เช่น ฟักทอง
แครอท ลูกเดือย ถั่วเหลือง ถั่วแดง ตามด้วยผลไม้(ไม่หวานหรือมีน้ำตาลน้อย) เช่น ฝรั่ง แก้วมังกร
แอปเปิ้ล อาจเติมไข่ต้ม หรือเนื้อไก่ฉีกด้วย อย่างไรก็ตามการกินสลัดเป็นจานอาหารที่เพิ่มขึ้นมา
โดยไม่ลดอาหารหลักในมื้อลงพร้อมกับการใส่น้ำสลัดจำนวนมากทำให้กินผักได้มากแต่อาจไม่สามารถ
ลดน้ำหนักได้เนื่องจากยังได้พลังงานมากเกินกว่าที่ร่างกายต้องการ"
ตัวอย่างเมนููอาหารที่มีธาตุเหล็กสูง,"ผัก, เนื้อสัตว์","ตัวอย่างเมนูที่มีธาตุเหล็กสูง ได้แก่ ยำยอดมะระหวาน/ผักหวาน/ผักกูด/ใบบัวบก/ชะพลู/ยอดกระถิน/
สะเดา/เมี่ยงปลาทู/คะน้า เกาเหลาเลือดหมู แกงจืดตำลึงใส่ตับ ขนมจีนน้ำเงี้ยวผัดกะเพราไก่ใส่ตับลาบหมู/เป็ด/
เนื้อ/คั่วไก่ โจ๊กหมูเครื่องในใส่ไข่ ก๋วยจั๊บ ผัดถั่วงอกกับเลือดหมูและตับหมูผัดเผ็ดถั่วฝักยาวใส่ตับ"
ตัวอย่างอาหารเสริมแคลเซียมสำหรับวัยรุ่น มีอะไรบ้าง,"ปลา, ผัก, ข้าว","ตัวอย่างเมนูอาหารที่มีแคลเซียมสูง เช่น น้ำพริกกะปิ ยำยอดคะน้า/ผักกระเฉด
ยำปลาทูลาบเต้าหู้น้ำพริกปลาร้า ข้าวคลุกกะปิแกงจืดเต้าหู้ เต้าหู้ทรงเครื่อง แกงส้มดอกแค/ผักกระเฉด เป็นต้น"
คนวัยในทำงานจำเป็นต้องกินผลิตภัณฑ์เสริมอาหารแค่ไหน,,"ไม่ควรกินผลิตภัณฑ์เสริมอาหารแทนการบริโภคอาหารที่มีคุณค่าทางโภชนาการตามปกติ โดยเฉพาะ
ผลิตภัณฑ์เสริมอาหารที่มีสารอาหารชนิดใดชนิดหนึ่งในปริมาณสูงมากๆ เพราะจะเกิดการสะสม ทำให้
ตับและไตต้องทำงานหนักเพื่อการกำจัดออกจะเสริมได้กรณีที่มีความเสี่ยงที่จะได้รับสารอาหารบางชนิด
จากอาหารที่ไม่เพียงพอหรือมีความต้องการเฉพาะวัยหรือสภาวะ เช่น ธาตุเหล็ก แคลเซียม กรดโฟลิก
ควรกินผัก ผลไม้ให้ได้5 หน่วยบริโภคต่อวันหรือเท่ากับผักวันละ 6 ทัพพีผลไม้วันละ 3-5 ส่วน(ผลไม้
1 ส่วน = ฝรั่งครึ่งผลกลาง = กล้วยน้ำว้า 1 ผล = ส้มเขียวหวาน 1 ผลใหญ่ = มะละกอหรือแตงโม
หรือสับปะรด 6-8 ชิ้นพอคำ = ลองกองหรือองุ่นหรือลำไย 6-8 ผล) จะสามารถลดอนุมูลอิสระ
ที่เกิดภายในร่างกายได้ทำให้ลดความเสี่ยงของโรคต่างๆได้"
ต้องการลดน้ำหนัก กินอะไรดี,,"เลือกอาหารที่ปรุงประกอบโดยการต้ม นึ่ง ย่าง หลีกเลี่ยงการประกอบอาหารทอดอมน้ำมัน หากกิน
เนื้อสัตว์ให้หลีกเลี่ยงส่วนหนังหรือส่วนที่มัน เน้นผักใบ เนื่องจากผักใบส่วนใหญ่มีใยอาหารและให้
พลังงานต่ำมาก หลีกเลี่ยงเครื่องดื่มรสหวานจัดที่มีส่วนประกอบของนมข้น ครีมเทียม และวิปปิ้งครีม
นอกจากนี้ให้หลีกเลี่ยงอาหารที่ให้พลังงานสูง (แป้ง น้ำตาล ไขมันสูง) อย่างไรก็ตามไม่ควรอดอาหาร
ควรกินครบ3 มื้อและออกกำลังกายหรือมีกิจกรรมเคลื่อนไหวทางกายในชีวิตประจำวัน"
กาแฟกับคนทำงาน ดื่มอย่างไรดี,,"ไม่ควรดื่มกาแฟเกินวันละ 2 ถ้วย เพื่อไม่ให้ร่างกายได้รับคาเฟอีนมากเกินไป หากดื่มควรเลือกดื่ม
เครื่องดื่มกาแฟดำ หรือเติมนมสด ครีมเทียมชนิดไขมันต่ำ หรือนมสดพร่องมันเนย"
แร่ธาตุชนิดใดบ้างที่ผู้สูงอายุมีความต้องการมากขึ้น,,"แร่ธาตุที่ผู้สูงอายุต้องการมากขึ้นคือ แคลเซียม ดังนั้น ผู้สูงอายุจึงควรกินอาหารที่เป็นแหล่งที่ดี
ของแคลเซียมเช่น น้ำนมที่เสริมแคลเซียมปลาเล็กปลาน้อย หรือได้รับการเสริมแคลเซียมวันละ1,000
มิลลิกรัม เพื่อลดความเสี่ยงต่อการเป็นโรคกระดูกพรุน แร่ธาตุที่เป็นปัญหาอีกชนิดหนึ่งคือ ธาตุเหล็ก
พบว่ามีการขาดในผู้สูงอายุได้โดยเฉพาะในผู้ที่นิยมกินอาหารมังสวิรัติอาจต้องกินธาตุเหล็กเพิ่มเติม"
"นางรักษ์ไตอายุ 70 ปี สูง 160 เซนติเมตร เป็นผู้ป่วยโรคไตเรื้อรังระยะที่ 4 
ควรได้รับโปรตีนต่อวันเท่าไร",,"ผู้ป่วยโรคไตเรื้อรังระยะที่ 4 ควรได้รับโปรตีน 0.6 กรัมต่อน้ำาหนักที่ควรจะเป็น 1 กิโลกรัม 
และนางรักษ์ไตมีน้ำหนักที่ควรจะเป็น ตามที่คำนวณไว้ข้างต้นเท่ากับ 55 กิโลกรัม
ดังนั้นนางรักษ์ไตควรได้รับโปรตีน = 0.6 x 55 = 33 กรัมต่อวัน"
แนะนำเมนูอาหาร 1 วัน สำหรับผู้ป่วยโรคไต,,"มื้อเช้า ผัดบวบใส่ไข่ขาว ประกอบไปด้วย
- บวบผัดสุก 1 ทัพพี
- ไข่ขาว 2 ฟอง
- กระเทียม 2 ช้อนโต๊ะ
- น้ำมันพืช 2 ช้อนชา
- ซีอิ๊วขาว 1 ช้อนชา
- ข้าวสวย 2 ส่วน

มื้อกลางวัน เส้นเซี่ยงไฮ้ผัดขี้เมาปลา ประกอบไปด้วย
- เส้นเซี่ยงไฮ้ลวก 2 ทัพพี
- ผักสุก 1/2 ทัพพี
- เนื้อปลา 2 ช้อนโต๊ะ
- พริก 1 ช้อนโต๊ะ
- น้ำมัน 4 ช้อนชา
- ซีอิ้วขาว 1 ช้อนชา
- น้ำตาล 1 ช้อนชา
- ชมพู่ 3 ผล

มื้อเย็น วุ้นเส้นผัดกุ้ง ประกอบไปด้วย
- กุ้งแกะเปลือก 5 ตัวเล็ก
- วุ้นเส้นลวก 1 ส่วน
- ต้นหอมซอย 1 ช้อนโต๊ะ
- กระเทียม 2 ช้อนโต๊ะ
- น้ำมันพืช 2 ช้อนชา
- ซีอิ๊วขาว 1 ช้อนชา
- ข้าวสวย 2.5 ทัพพี
- สลิ่ม(เส้น) 1 ทัพพี
- กะทิ 1/2 ช้อนโต๊ะ
- น้ำเชื่อม 2 ช้อนโต๊ะ"
อาหารสำหรับผู้ป่วยโรคไขมันในเลือดสูง,,"- อาหารที่ปรุงด้วยวิธีการต้ม นึ่ง ย่าง และอบ แทนการทอดและผัด
- อาหารที่มีเนื้อสัตว์หรือผลิตภัณฑ์ที่มีไขมันน้อยเป็นส่วนประกอบ แทนอาหารที่มีเนื้อสัตว์ไขมันสูง"
ตัวอย่างเมนูอาหารสำหรับวัย 6 - 8 เดือน,"ไข่, ไก่, ผัก, เต้าหู้, ปลา","- ข้าวบด ไข่แดง-ตําลึง
- ข้าวบด ตับไก่-เต้าหู้ ผักหวาน
- ข้าวบด ปลาทู ฟักทอง"
วิธีการเตรียมส่วนประกอบของเมนูข้าวบด ไข่แดง-ตําลึง,"ไข่, ผัก, ปลา","ส่วนประกอบเมนูข้าวบด ไข่แดง-ตําลึงต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. ไข่แดง 7 กรัม
4. ตําลึง 12 กรัม
5. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 106 กิโลแคลอรี โปรตีน 3.1 กรัม"
วิธีการเตรียมส่วนประกอบของเมนูข้าวบด ตับไก่-เต้าหู้ ผักหวาน,"ไข่, ไก่, ผัก, เต้าหู้","ส่วนประกอบเมนูข้าวบด ตับไก่-เต้าหู้ ผักหวานต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. ตับไก่ 4.25 กรัม
4. เต้าหู้หลอดไข่ไก่ 34 กรัม
5. ผักหวาน 7.5 กรัม
6. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 106 กิโลแคลอรี โปรตีน 4.0 กรัม"
วิธีการเตรียมส่วนประกอบของเมนูข้าวบด ตับไก่-เต้าหู้ ผักหวาน,"ไข่, ไก่, ผัก, ฟักทอง, ปลา","ส่วนประกอบเมนูข้าวบด ปลาทู ฟักทอง ต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. เนื้อปลาทูนึ่งทอด 13.5 กรัม
4. ฟักทอง 13.5 กรัม
5. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 122 กิโลแคลอรี โปรตีน 5.6 กรัม"
ตัวอย่างเมนูอาหารสำหรับวัย 9 - 11 เดือน,"ผัก, เนื้อสัตว์","- ข้าวต้มไข่-ตําลึง
- ข้าวต้มปลา-แครอท
- ข้าวต้มหมูสับ-เลือดผักหวาน"
วิธีการเตรียมส่วนประกอบของเมนูข้าวต้มไข่-ตําลึง,"ไข่, ผัก, ข้าว","ส่วนประกอบเมนูข้าวต้มไข่-ตําลึง ต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. ไข่ 16.5 กรัม
4. ตําลึง 16 กรัม
5. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 110 กิโลแคลอรี โปรตีน 4.3 กรัม"
วิธีการเตรียมส่วนประกอบของเมนูข้าวต้มปลา-แครอท,"ข้าว, ผัก, ปลา","ส่วนประกอบเมนูข้าวต้มปลา-แครอท ต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. เนื้อปลาทะเลที่ไม่มีก้าง 22.5 กรัม
4. แครอท 20 กรัม
5. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 109 กิโลแคลอรี โปรตีน 6.3 กรัม"
วิธีการเตรียมส่วนประกอบของเมนูข้าวต้มหมูสับ-เลือดผักหวาน,"ผัก, เนื้อสัตว์","ส่วนประกอบเมนูต้มหมูสับ-เลือดผักหวาน ต่อ 1 มื้อ
1. ข้าวสวย 40 กรัม
2. น้ําแกงจืด 100 กรัม
3. หมูสับ 15 กรัม
4. เลือดหมู 6.5 กรัม
5. ผักหวาน 10 กรัม
6. น้ํามันพืช 2.5 กรัม
ให้พลังงาน 119 กิโลแคลอรี โปรตีน 4.9 กรัม"
ตัวอย่างเมนูอาหารสำหรับวัย 12 - 23 เดือน,"ผัก, เนื้อสัตว์","- ข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง
- ข้าวเต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตําลึง
- ข้าวปลาทู ไข่น้ํา มันฝรั่ง หัวผักกาด"
วิธีการเตรียมส่วนประกอบของเมนูข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง,,"ส่วนประกอบเมนูข้าวผัดไข่ แกงจืดไก่ ผักหวาน ฟักทอง ต่อ 1 มื้อ
1. ข้าวสวย 50 กรัม
2. น้ํามันพืช 5 กรัม
3. ไข่ไก่ 16.5 กรัม
4. น้ําแกงจืดซุปขาตั้งหมู 100 กรัม
5. เนื้อไก่ 15 กรัม
6. ตับไก่ 4.25 กรัม
7. ฟักทอง 20 กรัม
8. ผักหวาน 10 กรัม
ให้พลังงาน 187 กิโลแคลอรี โปรตีน 7.6 กรัม"
"วิธีการเตรียมส่วนประกอบของเมนูข้าวเต้าหู้อ่อนทอด ต้มเลือดหมู 
หมูสับ แครอท ตําลึง",,"ส่วนประกอบเมนูข้าวเต้าหู้อ่อนทอด ต้มเลือดหมู หมูสับ แครอท ตําลึง ต่อ 1 มื้อ
1. ข้าวสวย 50 กรัม
2. เต้าหู้หลอดไข่ไก่ (1⁄4 หลอด) 34 กรัม
3. น้ํามันพืช 5 กรัม
4. น้ําแกงจืด 100 กรัม
5. เลือดหมูต้ม 13 กรัม
6. หมูสับ 15 กรัม
7. แครอท 20 กรัม
8. ตําลึง 16 กรัม
ให้พลังงาน 183 กิโลแคลอรี โปรตีน 8.1 กรัม"
วิธีการเตรียมส่วนประกอบของเมนูข้าวปลาทู ไข่น้ํา มันฝรั่ง หัวผักกาด,,"ส่วนประกอบเมนูข้าวปลาทู ไข่น้ํา มันฝรั่ง หัวผักกาด ต่อ 1 มื้อ
1. ข้าวสวย 50 กรัม
2. ปลาทูนึ่งทอด 10 กรัม
3. น้ําแกงจืด 100 กรัม
4. น้ํามันพืช 2.5 กรัม
5. ไข่ไก่ 25 กรัม
6. มันฝรั่ง 20 กรัม
7. หัวผักกาดขาว 22 กรัม
ให้พลังงาน 174 กิโลแคลอรี โปรตีน 8.3 กรัม"
หลักการจัดอาหารสำหรับเด็กอายุ 12-23 เดือน,,"วันละ 3 มื้อ ใช้ข้าวสวย 6 ช้อนกินข้าว (ช้อนโต๊ะ) หรือประมาณ 1 ทัพพี
ผัดน้ํามันพืช 1 ช้อนชา หรือกินกับอาหารผัดหรือทอด แกงจืด หรือ ต้มจืด
อาหารที่มีโปรตีนและสารอาหารเข้มข้น
ประมาณ 3 ช้อนกินข้าว ผสมกัน หรือหมุนเวียนสลับกันไป
และใส่ผักใบเขียวหรือเหลืองส้มที่อ่อนนุ่ม
กลิ่นไม่แรง 1-2 ชนิด ปริมาณ 3-4 ช้อนกินข้าว"
หลักการจัดอาหารสำหรับเด็กอายุ 9-11 เดือน,,"วันละ 3 มื้อ ใช้ข้าวสวย 4 ช้อนกินข้าว (ช้อนโต๊ะ) หรือประมาณ 2 ช้อนพูน
ต้มกับน้ําแกงจืดหรือน้ําซุปประมาณครึ่งถ้วยตวง ต้มให้เปื่อย
หรือบดพอหยาบๆ จะเหลือประมาณ 4 ใน 5 ส่วนเมื่อแล้วเสร็จ
ใส่ผักใบเขียวหรือเหลืองส้มที่อ่อนนุ่ม กลิ่นไม่แรง 2 ช้อนกินข้าว
และอาหารที่มีโปรตีน และสารอาหารเข้มข้น เช่น ไข่ เลือด ตับ ปลา หมูสับหรือบด
ประมาณ 1-2 ช้อนกินข้าว หมุนเวียนสลับกันไป
และเหยาะน้ํามันพืชประมาณครึ่งช้อนชาเมื่อเตรียมเสร็จ"
หลักการจัดอาหารสำหรับเด็กอายุ 6-8 เดือน,,"วันละ 1-2 มื้อ ใช้ข้าวสวย 4 ช้อนกินข้าว (ช้อนโต๊ะ) หรือประมาณ 2 ช้อนพูน
ต้มกับน้ําแกงจืดหรือน้ําซุปประมาณครึ่งถ้วยตวง หรือใช้ข้าวตุ๋นข้นปานกลาง 4 ช้อนกินข้าวผสมกับน้ําแกงจืดหรือ
น้ําซุป 8 ช้อนกินข้าวหรือใช้ปลายข้าว 1 ช้อนกินข้าว ต้มกับน้ําแกงจืดหรือน้ําซุปประมาณ 10 เท่า
จะเหลือปริมาณ 4 ใน 5 ส่วนเมื่อแล้วเสร็จ ใส่ผักใบเขียวหรือเหลืองส้มที่อ่อนนุ่มกลิ่นไม่แรง 1-2 ช้อนกินข้าว
และอาหารที่มีโปรตีน และสารอาหารเข้มข้น แต่อ่อนนุ่มบดได้ง่าย เช่น ไข่แดง ตับไก่ เต้าหู้อ่อน ปลา
หมุนเวียนสลับกันไป และเหยาะน้ํามันพืชประมาณครึ่งช้อนชาเมื่อเตรียมเสร็จ"
แนะนำเมนูอาหาร 1 วัน สำหรับวัยรุ่น,"ผัก, เนื้อสัตว์, แป้ง","มื้อเช้า 
- ขนมปังปิ้ง 2 แผ่น ทาเนย 1 ช้อน
- ไข่ดาว 1 ฟอง
- แคนตาลูป 4 - 6 ชิ้นพอดีคำ
- นมสด 1 แก้ว

มื้อกลางวัน 
- ข้าวผัดรวมมิตรทะเล
- แกงจืดเต้าหู้ไข่ใส่แครอท
- แตงโม 8-10 ชิ้น
- น้ำสะอาด 1 แก้ว

มื้อเย็น
- ข้าวสวย
- แกงส้มผักรวมปลาช่อน
- ไก่ผัดเปรี้ยวหวาน
- น้ำสะอาด 1 แก้ว
รวมพลังงาน 2050 กิโลแคลอรี่"
ช่วยจัดเมนูอาหารสุขภาพให้หน่อย,"วัยรุ่น, ไม่เกิน 2000 - 2400 กิโลแคลอรี่","มื้อเช้า 
- ขนมปังปิ้ง 2 แผ่น ทาเนย 1 ช้อน
- ไข่ดาว 1 ฟอง
- แคนตาลูป 4 - 6 ชิ้นพอดีคำ
- นมสด 1 แก้ว

มื้อกลางวัน 
- ข้าวผัดรวมมิตรทะเล
- แกงจืดเต้าหู้ไข่ใส่แครอท
- แตงโม 8-10 ชิ้น
- น้ำสะอาด 1 แก้ว

มื้อเย็น
- ข้าวสวย
- แกงส้มผักรวมปลาช่อน
- ไก่ผัดเปรี้ยวหวาน
- น้ำสะอาด 1 แก้ว
รวมพลังงาน 2050 กิโลแคลอรี่"
